time (in seconds),queue density
0.0666092,0.0324112
0.133218,0.0437108
0.199828,0.0625553
0.266437,0.0762991
0.333046,0.0819666
0.399655,0.0921682
0.466264,0.100988
0.532873,0.10662
0.599483,0.112146
0.666092,0.116291
0.732701,0.11877
0.79931,0.121675
0.865919,0.125288
0.932529,0.126032
0.999138,0.129361
1.06575,0.132656
1.13236,0.132904
1.19897,0.135277
1.26557,0.138713
1.33218,0.138748
1.39879,0.141086
1.4654,0.142999
1.53201,0.14353
1.59862,0.144947
1.66523,0.148418
1.73184,0.149623
1.79845,0.151252
1.86506,0.153909
1.93167,0.156318
1.99828,0.156955
2.06488,0.15908
2.13149,0.158337
2.1981,0.158514
2.26471,0.158407
2.33132,0.158372
2.39793,0.15986
2.46454,0.158407
2.53115,0.15901
2.59776,0.158832
2.66437,0.159718
2.73098,0.161206
2.79759,0.160604
2.86419,0.159506
2.9308,0.162446
2.99741,0.162233
3.06402,0.160568
3.13063,0.160993
3.19724,0.160568
3.26385,0.163473
3.33046,0.161525
3.39707,0.163827
3.46368,0.165386
3.53029,0.166094
3.5969,0.169353
3.6635,0.170486
3.73011,0.170947
3.79672,0.171301
3.86333,0.171762
3.92994,0.172541
3.99655,0.173462
4.06316,0.174064
4.12977,0.172009
4.19638,0.172222
4.26299,0.171053
4.3296,0.170911
4.39621,0.169636
4.46282,0.168007
4.52942,0.167582
4.59603,0.169176
4.66264,0.170061
4.72925,0.170486
4.79586,0.172257
4.86247,0.173497
4.92908,0.173781
4.99569,0.174985
5.0623,0.175941
5.12891,0.177535
5.19552,0.180971
5.26213,0.184266
5.32873,0.187099
5.39534,0.188091
5.46195,0.192058
5.52856,0.193582
5.59517,0.199355
5.66178,0.204633
5.72839,0.206971
5.795,0.214091
5.86161,0.220857
5.92822,0.223974
5.99483,0.231625
6.06144,0.236974
6.12804,0.238851
6.19465,0.242854
6.26126,0.244129
6.32787,0.245829
6.39448,0.249548
6.46109,0.252205
6.5277,0.251001
6.59431,0.254153
6.66092,0.255747
6.72753,0.255464
6.79414,0.25302
6.86075,0.252382
6.92735,0.251745
6.99396,0.247671
7.06057,0.246537
7.12718,0.245652
7.19379,0.244802
7.2604,0.247175
7.32701,0.248592
7.39362,0.251532
7.46023,0.254614
7.52684,0.255889
7.59345,0.260813
7.66006,0.263469
7.72666,0.265099
7.79327,0.267472
7.85988,0.270164
7.92649,0.268464
7.9931,0.266657
8.05971,0.26811
8.12632,0.266799
8.19293,0.268251
8.25954,0.270306
8.32615,0.269349
8.39276,0.269739
8.45937,0.274308
8.52598,0.273104
8.59258,0.277355
8.65919,0.282668
8.7258,0.28366
8.79241,0.285962
8.85902,0.287733
8.92563,0.288902
8.99224,0.291665
9.05885,0.294499
9.12546,0.296376
9.19207,0.294605
9.25868,0.299954
9.32529,0.298927
9.39189,0.298218
9.4585,0.297439
9.52511,0.29751
9.59172,0.296199
9.65833,0.295739
9.72494,0.294995
9.79155,0.293224
9.85816,0.28954
9.92477,0.288761
9.99138,0.288867
10.058,0.286777
10.1246,0.286989
10.1912,0.283979
10.2578,0.283908
10.3244,0.283235
10.391,0.280366
10.4576,0.279976
10.5243,0.279693
10.5909,0.278807
10.6575,0.27863
10.7241,0.277567
10.7907,0.274273
10.8573,0.272608
10.9239,0.273706
10.9905,0.273069
11.0571,0.273175
11.1237,0.271793
11.1903,0.27275
11.257,0.272006
11.3236,0.27406
11.3902,0.2719
11.4568,0.269172
11.5234,0.268853
11.59,0.270624
11.6566,0.269597
11.7232,0.269491
11.7898,0.267259
11.8564,0.267684
11.923,0.267189
11.9897,0.267153
12.0563,0.267649
12.1229,0.267862
12.1895,0.266586
12.2561,0.265417
12.3227,0.264071
12.3893,0.263717
12.4559,0.262477
12.5225,0.261521
12.5891,0.262442
12.6557,0.261344
12.7224,0.262477
12.789,0.261627
12.8556,0.261804
12.9222,0.259289
12.9888,0.259148
13.0554,0.258368
13.122,0.258121
13.1886,0.258652
13.2552,0.257908
13.3218,0.257341
13.3884,0.257129
13.4551,0.256881
13.5217,0.257447
13.5883,0.257943
13.6549,0.257625
13.7215,0.256952
13.7881,0.257058
13.8547,0.256774
13.9213,0.2572
13.9879,0.257518
14.0545,0.257589
14.1211,0.257518
14.1878,0.256739
14.2544,0.257129
14.321,0.256987
14.3876,0.255995
14.4542,0.255853
14.5208,0.255924
14.5874,0.255924
14.654,0.255747
14.7206,0.256527
14.7872,0.255995
14.8538,0.256066
14.9205,0.256137
14.9871,0.255499
15.0537,0.255322
15.1203,0.25557
15.1869,0.255145
15.2535,0.25518
15.3201,0.256385
15.3867,0.25596
15.4533,0.256491
15.5199,0.256137
15.5865,0.25518
15.6532,0.255783
15.7198,0.255641
15.7864,0.254791
15.853,0.254295
15.9196,0.253834
15.9862,0.253834
16.0528,0.256774
16.1194,0.256739
16.186,0.25681
16.2526,0.255641
16.3192,0.256527
16.3859,0.256881
16.4525,0.25511
16.5191,0.255747
16.5857,0.254437
16.6523,0.254862
16.7189,0.254649
16.7855,0.253409
16.8521,0.252843
16.9187,0.252666
16.9853,0.253126
17.052,0.252984
17.1186,0.252736
17.1852,0.253622
17.2518,0.253197
17.3184,0.252559
17.385,0.25263
17.4516,0.253339
17.5182,0.253374
17.5848,0.253799
17.6514,0.253834
17.718,0.253197
17.7847,0.253303
17.8513,0.253693
17.9179,0.25472
17.9845,0.254791
18.0511,0.253764
18.1177,0.253764
18.1843,0.253622
18.2509,0.25387
18.3175,0.25348
18.3841,0.254118
18.4507,0.254649
18.5174,0.254507
18.584,0.255676
18.6506,0.257837
18.7172,0.259006
18.7838,0.259785
18.8504,0.262655
18.917,0.263611
18.9836,0.26563
19.0502,0.266551
19.1168,0.266905
19.1834,0.266693
19.2501,0.264674
19.3167,0.263292
19.3833,0.26184
19.4499,0.259821
19.5165,0.259608
19.5831,0.258368
19.6497,0.257873
19.7163,0.257943
19.7829,0.255712
19.8495,0.253976
19.9161,0.253941
19.9828,0.25263
20.0494,0.251426
20.116,0.250682
20.1826,0.250859
20.2492,0.25093
20.3158,0.25139
20.3824,0.251709
20.449,0.25217
20.5156,0.252453
20.5822,0.252736
20.6488,0.25387
20.7155,0.253551
20.7821,0.252878
20.8487,0.252913
20.9153,0.252311
20.9819,0.252666
21.0485,0.253161
21.1151,0.253268
21.1817,0.253374
21.2483,0.257164
21.3149,0.25642
21.3815,0.255606
21.4482,0.255853
21.5148,0.255924
21.5814,0.255428
21.648,0.255464
21.7146,0.255322
21.7812,0.256456
21.8478,0.255924
21.9144,0.256101
21.981,0.256916
22.0476,0.256137
22.1142,0.255924
22.1809,0.256172
22.2475,0.256243
22.3141,0.256633
22.3807,0.256385
22.4473,0.256349
22.5139,0.257129
22.5805,0.2572
22.6471,0.257731
22.7137,0.258475
22.7803,0.259006
22.8469,0.260529
22.9136,0.260104
22.9802,0.262194
23.0468,0.263469
23.1134,0.264957
23.18,0.264036
23.2466,0.26478
23.3132,0.264355
23.3798,0.264071
23.4464,0.263611
23.513,0.263717
23.5796,0.26393
23.6463,0.263788
23.7129,0.263965
23.7795,0.264213
23.8461,0.264284
23.9127,0.265099
23.9793,0.265276
24.0459,0.265595
24.1125,0.266161
24.1791,0.26602
24.2457,0.265417
24.3124,0.264957
24.379,0.264992
24.4456,0.264638
24.5122,0.264178
24.5788,0.265524
24.6454,0.264496
24.712,0.264213
