time (in seconds),queue density
0.0666092,0.0314723
0.133218,0.0423844
0.199828,0.0593065
0.266437,0.0727548
0.333046,0.0783573
0.399655,0.0877779
0.466264,0.0970403
0.532873,0.101729
0.599483,0.108
0.666092,0.112843
0.732701,0.115233
0.79931,0.118953
0.865919,0.123156
0.932529,0.123904
0.999138,0.127138
1.06575,0.129891
1.13236,0.130558
1.19897,0.13313
1.26557,0.135671
1.33218,0.136338
1.39879,0.137961
1.4654,0.13947
1.53201,0.139922
1.59862,0.142417
1.66523,0.145152
1.73184,0.146351
1.79845,0.148939
1.86506,0.15251
1.93167,0.152921
1.99828,0.153819
2.06488,0.154889
2.13149,0.154981
2.1981,0.155623
2.26471,0.15576
2.33132,0.156557
2.39793,0.15654
2.46454,0.157298
2.53115,0.157397
2.59776,0.157592
2.66437,0.158195
2.73098,0.158469
2.79759,0.158735
2.86419,0.15856
2.9308,0.159593
2.99741,0.159136
3.06402,0.159152
3.13063,0.159704
3.19724,0.160446
3.26385,0.161228
3.33046,0.16172
3.39707,0.161954
3.46368,0.163543
3.53029,0.164445
3.5969,0.166119
3.6635,0.167639
3.73011,0.168158
3.79672,0.169297
3.86333,0.16975
3.92994,0.170286
3.99655,0.170665
4.06316,0.1708
4.12977,0.170481
4.19638,0.169778
4.26299,0.169083
4.3296,0.169315
4.39621,0.16944
4.46282,0.168949
4.52942,0.169338
4.59603,0.171355
4.66264,0.172808
4.72925,0.173788
4.79586,0.175333
4.86247,0.176408
4.92908,0.177048
4.99569,0.178453
5.0623,0.179302
5.12891,0.180013
5.19552,0.182605
5.26213,0.185882
5.32873,0.187809
5.39534,0.189203
5.46195,0.191418
5.52856,0.19329
5.59517,0.198146
5.66178,0.203598
5.72839,0.206473
5.795,0.212934
5.86161,0.219152
5.92822,0.222203
5.99483,0.229206
6.06144,0.235842
6.12804,0.237963
6.19465,0.241301
6.26126,0.245549
6.32787,0.246942
6.39448,0.250084
6.46109,0.252354
6.5277,0.25388
6.59431,0.256778
6.66092,0.257696
6.72753,0.257304
6.79414,0.25613
6.86075,0.254628
6.92735,0.253943
6.99396,0.251304
7.06057,0.250404
7.12718,0.249679
7.19379,0.249477
7.2604,0.25137
7.32701,0.252671
7.39362,0.25587
7.46023,0.258399
7.52684,0.260576
7.59345,0.264825
7.66006,0.268019
7.72666,0.269351
7.79327,0.271993
7.85988,0.272719
7.92649,0.271314
7.9931,0.271517
8.05971,0.271876
8.12632,0.272181
8.19293,0.273325
8.25954,0.273878
8.32615,0.273926
8.39276,0.275286
8.45937,0.278708
8.52598,0.280644
8.59258,0.283873
8.65919,0.290676
8.7258,0.291899
8.79241,0.294471
8.85902,0.295026
8.92563,0.296094
8.99224,0.297574
9.05885,0.299425
9.12546,0.300501
9.19207,0.300771
9.25868,0.301561
9.32529,0.302569
9.39189,0.30147
9.4585,0.300632
9.52511,0.299572
9.59172,0.297206
9.65833,0.296305
9.72494,0.296424
9.79155,0.294431
9.85816,0.293824
