time (in seconds),queue density
0.0666092,0.0333759
0.133218,0.0449166
0.199828,0.062743
0.266437,0.0767956
0.333046,0.083046
0.399655,0.0927684
0.466264,0.101946
0.532873,0.106116
0.599483,0.111951
0.666092,0.116034
0.732701,0.118174
0.79931,0.121297
0.865919,0.124976
0.932529,0.125654
0.999138,0.128476
1.06575,0.130706
1.13236,0.131568
1.19897,0.133876
1.26557,0.136748
1.33218,0.137277
1.39879,0.138582
1.4654,0.140365
1.53201,0.140922
1.59862,0.143418
1.66523,0.146055
1.73184,0.147133
1.79845,0.149896
1.86506,0.15354
1.93167,0.154116
1.99828,0.154755
2.06488,0.1555
2.13149,0.155758
2.1981,0.155739
2.26471,0.155848
2.33132,0.156793
2.39793,0.15637
2.46454,0.156597
2.53115,0.157067
2.59776,0.157059
2.66437,0.15771
2.73098,0.158023
2.79759,0.158035
2.86419,0.158109
2.9308,0.159191
2.99741,0.15829
3.06402,0.158862
3.13063,0.158991
3.19724,0.160057
3.26385,0.16021
3.33046,0.16077
3.39707,0.161648
3.46368,0.163482
3.53029,0.164603
3.5969,0.166742
3.6635,0.168909
3.73011,0.169458
3.79672,0.170994
3.86333,0.171668
3.92994,0.172393
3.99655,0.173189
4.06316,0.173287
4.12977,0.172574
4.19638,0.171006
4.26299,0.16976
4.3296,0.16958
4.39621,0.169149
4.46282,0.168008
4.52942,0.167942
4.59603,0.169399
4.66264,0.170798
4.72925,0.171547
4.79586,0.173134
4.86247,0.17407
4.92908,0.174795
4.99569,0.176077
5.0623,0.176751
5.12891,0.177762
5.19552,0.180407
5.26213,0.183609
5.32873,0.185956
5.39534,0.187935
5.46195,0.189961
5.52856,0.191677
5.59517,0.196744
5.66178,0.202454
5.72839,0.205612
5.795,0.212051
5.86161,0.218329
5.92822,0.221585
5.99483,0.228753
6.06144,0.235242
6.12804,0.237644
6.19465,0.24054
6.26126,0.244345
6.32787,0.245642
6.39448,0.248593
6.46109,0.250788
6.5277,0.251995
6.59431,0.25451
6.66092,0.255028
6.72753,0.254448
6.79414,0.252869
6.86075,0.25107
6.92735,0.250294
6.99396,0.247527
7.06057,0.246136
7.12718,0.245568
7.19379,0.245301
7.2604,0.246536
7.32701,0.248327
7.39362,0.250725
7.46023,0.252798
7.52684,0.254683
7.59345,0.258562
7.66006,0.261741
7.72666,0.263198
7.79327,0.265526
7.85988,0.266662
7.92649,0.265107
7.9931,0.265232
8.05971,0.264946
8.12632,0.26506
8.19293,0.266216
8.25954,0.266384
8.32615,0.266408
8.39276,0.267466
8.45937,0.270017
8.52598,0.271769
8.59258,0.274543
8.65919,0.280954
8.7258,0.282153
8.79241,0.284896
8.85902,0.285923
8.92563,0.28644
8.99224,0.288078
9.05885,0.290069
9.12546,0.290923
9.19207,0.291543
9.25868,0.292695
9.32529,0.292863
9.39189,0.291707
9.4585,0.291609
9.52511,0.290343
9.59172,0.289125
9.65833,0.288216
9.72494,0.287785
9.79155,0.286291
9.85816,0.285708
9.92477,0.284759
9.99138,0.283294
10.058,0.282502
10.1246,0.282725
10.1912,0.281761
10.2578,0.28075
10.3244,0.279775
10.391,0.278105
10.4576,0.276526
10.5243,0.275664
10.5909,0.274281
10.6575,0.273873
10.7241,0.273246
10.7907,0.272106
10.8573,0.270671
10.9239,0.270229
10.9905,0.269939
11.0571,0.269778
11.1237,0.269805
11.1903,0.26959
11.257,0.26883
11.3236,0.268363
11.3902,0.267062
11.4568,0.266243
11.5234,0.266114
11.59,0.266721
11.6566,0.265973
11.7232,0.265691
11.7898,0.264609
11.8564,0.264441
11.923,0.264495
11.9897,0.264166
12.0563,0.26312
12.1229,0.262834
12.1895,0.262399
12.2561,0.261623
12.3227,0.261239
12.3893,0.260071
12.4559,0.25924
12.5225,0.259899
12.5891,0.259813
12.6557,0.259378
12.7224,0.258907
12.789,0.257892
12.8556,0.257798
12.9222,0.254895
12.9888,0.2548
13.0554,0.254816
13.122,0.254722
13.1886,0.254695
13.2552,0.254816
13.3218,0.254663
13.3884,0.25482
13.4551,0.254601
13.5217,0.254632
13.5883,0.25529
13.6549,0.254589
13.7215,0.254079
13.7881,0.25377
13.8547,0.253723
13.9213,0.253715
13.9879,0.254021
14.0545,0.254032
14.1211,0.253938
14.1878,0.253382
14.2544,0.253409
14.321,0.253358
14.3876,0.252955
14.4542,0.252935
14.5208,0.253143
14.5874,0.254483
14.654,0.254252
14.7206,0.254028
14.7872,0.254283
14.8538,0.253938
14.9205,0.253648
14.9871,0.253746
15.0537,0.253586
15.1203,0.253715
15.1869,0.253315
15.2535,0.252959
15.3201,0.253127
15.3867,0.253061
15.4533,0.253472
15.5199,0.253343
15.5865,0.253323
15.6532,0.253527
15.7198,0.253409
15.7864,0.253213
15.853,0.252163
15.9196,0.25096
15.9862,0.252257
16.0528,0.254123
16.1194,0.253907
16.186,0.254593
16.2526,0.253727
16.3192,0.253566
16.3859,0.253562
16.4525,0.253249
16.5191,0.253057
16.5857,0.253288
16.6523,0.253111
16.7189,0.253021
16.7855,0.252383
16.8521,0.252281
16.9187,0.252371
16.9853,0.252684
17.052,0.252547
17.1186,0.252461
17.1852,0.253209
17.2518,0.253064
17.3184,0.252684
17.385,0.252535
17.4516,0.252939
17.5182,0.253123
17.5848,0.253159
17.6514,0.253445
17.718,0.253347
17.7847,0.253092
17.8513,0.253029
17.9179,0.253139
17.9845,0.253174
18.0511,0.252669
18.1177,0.252206
18.1843,0.25214
18.2509,0.2525
18.3175,0.252551
18.3841,0.253546
18.4507,0.254522
18.5174,0.254985
18.584,0.256266
18.6506,0.258261
18.7172,0.259495
18.7838,0.261752
18.8504,0.264421
18.917,0.264778
18.9836,0.266827
19.0502,0.268159
19.1168,0.268218
19.1834,0.267513
19.2501,0.265679
19.3167,0.264597
19.3833,0.263339
19.4499,0.261552
19.5165,0.261008
19.5831,0.259405
19.6497,0.258308
19.7163,0.257622
19.7829,0.256019
19.8495,0.254228
19.9161,0.253746
19.9828,0.252626
20.0494,0.25165
20.116,0.251113
20.1826,0.250917
20.2492,0.250654
20.3158,0.251136
20.3824,0.251442
20.449,0.252069
20.5156,0.25185
20.5822,0.251979
20.6488,0.253315
20.7155,0.252724
20.7821,0.252038
20.8487,0.252457
20.9153,0.252069
20.9819,0.252841
21.0485,0.252563
21.1151,0.2523
21.1817,0.251779
21.2483,0.253797
21.3149,0.253691
21.3815,0.253441
21.4482,0.253006
21.5148,0.253029
21.5814,0.253519
21.648,0.253899
21.7146,0.253985
21.7812,0.254048
21.8478,0.254185
21.9144,0.254224
21.981,0.254295
22.0476,0.253919
22.1142,0.253821
22.1809,0.254334
22.2475,0.254683
22.3141,0.254769
22.3807,0.254773
22.4473,0.25493
22.5139,0.255024
22.5805,0.255282
22.6471,0.255565
22.7137,0.256599
22.7803,0.257359
22.8469,0.258943
22.9136,0.258374
22.9802,0.259871
23.0468,0.261114
23.1134,0.261948
23.18,0.262258
23.2466,0.262085
23.3132,0.26207
23.3798,0.261807
23.4464,0.261419
23.513,0.261411
23.5796,0.261317
23.6463,0.261509
23.7129,0.261694
23.7795,0.261764
23.8461,0.262054
23.9127,0.262403
23.9793,0.262391
24.0459,0.262618
24.1125,0.262685
24.1791,0.262806
24.2457,0.262618
24.3124,0.262446
24.379,0.262591
24.4456,0.26214
24.5122,0.262113
24.5788,0.262434
24.6454,0.262117
24.712,0.262446
24.7786,0.261799
24.8452,0.261772
24.9118,0.261541
24.9784,0.261078
25.0451,0.2612
25.1117,0.260925
25.1783,0.260487
25.2449,0.260765
25.3115,0.261106
25.3781,0.261435
25.4447,0.262371
25.5113,0.263155
25.5779,0.265894
25.6445,0.26785
25.7111,0.268532
25.7778,0.269825
25.8444,0.271933
25.911,0.27316
25.9776,0.274904
26.0442,0.275981
26.1108,0.275891
26.1774,0.276357
26.244,0.276796
26.3106,0.277705
26.3772,0.278329
26.4438,0.278932
26.5105,0.278642
26.5771,0.279144
26.6437,0.2795
26.7103,0.279496
26.7769,0.280406
26.8435,0.281769
26.9101,0.283047
26.9767,0.286162
27.0433,0.289697
27.1099,0.291574
27.1765,0.295301
27.2432,0.299525
27.3098,0.302194
27.3764,0.306453
27.443,0.31232
27.5096,0.314957
27.5762,0.321008
27.6428,0.325616
27.7094,0.328104
27.776,0.333269
27.8426,0.337545
27.9092,0.341934
27.9759,0.346107
28.0425,0.350716
28.1091,0.353427
28.1757,0.359051
28.2423,0.365199
28.3089,0.367805
28.3755,0.373754
28.4421,0.378895
28.5087,0.380906
28.5753,0.38687
28.6419,0.391984
28.7086,0.394417
28.7752,0.40019
28.8418,0.404653
28.9084,0.4078
28.975,0.411389
29.0416,0.413968
29.1082,0.415198
29.1748,0.418286
29.2414,0.421261
29.308,0.420759
29.3746,0.423271
29.4413,0.424384
29.5079,0.424556
29.5745,0.432833
29.6411,0.432472
29.7077,0.433754
29.7743,0.435157
29.8409,0.437124
29.9075,0.437198
29.9741,0.438672
30.0407,0.440474
30.1073,0.440937
30.174,0.443049
30.2406,0.444205
30.3072,0.444565
30.3738,0.445737
30.4404,0.448292
30.507,0.448774
30.5736,0.450596
30.6402,0.453332
30.7068,0.453669
30.7734,0.455189
30.8401,0.45629
30.9067,0.456655
30.9733,0.457909
31.0399,0.458873
31.1065,0.458841
31.1731,0.459398
31.2397,0.464551
31.3063,0.464057
31.3729,0.465072
31.4395,0.465323
31.5061,0.465354
