time (in seconds),queue density
0.0666092,0
0.133218,0.0322316
0.199828,0.0436704
0.266437,0.060184
0.333046,0.0719834
0.399655,0.0771757
0.466264,0.0867648
0.532873,0.0956369
0.599483,0.0998574
0.666092,0.105818
0.732701,0.109807
0.79931,0.111978
0.865919,0.115407
0.932529,0.119032
0.999138,0.119929
1.06575,0.123107
1.13236,0.125741
1.19897,0.12674
1.26557,0.129044
1.33218,0.131619
1.39879,0.132453
1.4654,0.133919
1.53201,0.135945
1.59862,0.136603
1.66523,0.13966
1.73184,0.142293
1.79845,0.143587
1.86506,0.146761
1.93167,0.150217
1.99828,0.150993
2.06488,0.151855
2.13149,0.152827
2.1981,0.153313
2.26471,0.153881
2.33132,0.154038
2.39793,0.154861
2.46454,0.154857
2.53115,0.155257
2.59776,0.155566
2.66437,0.156107
2.73098,0.156628
2.79759,0.157016
2.86419,0.157322
2.9308,0.157357
2.99741,0.158497
3.06402,0.158023
3.13063,0.158231
3.19724,0.158533
3.26385,0.159583
3.33046,0.160088
3.39707,0.160747
3.46368,0.161871
3.53029,0.164477
3.5969,0.165606
3.6635,0.168228
3.73011,0.170736
3.79672,0.171512
3.86333,0.173232
3.92994,0.174725
3.99655,0.175779
4.06316,0.176433
4.12977,0.176551
4.19638,0.176093
4.26299,0.174725
4.3296,0.17284
4.39621,0.172268
4.46282,0.171288
4.52942,0.169634
4.59603,0.169043
4.66264,0.169611
4.72925,0.170559
4.79586,0.171527
4.86247,0.173518
4.92908,0.174772
4.99569,0.17543
5.0623,0.17708
5.12891,0.177911
5.19552,0.178996
5.26213,0.18221
5.32873,0.185576
5.39534,0.187618
5.46195,0.189753
5.52856,0.192167
5.59517,0.194217
5.66178,0.199401
5.72839,0.205742
5.795,0.208469
5.86161,0.214375
5.92822,0.22155
5.99483,0.22452
6.06144,0.232064
6.12804,0.239173
6.19465,0.24172
6.26126,0.24547
6.32787,0.248879
6.39448,0.250145
6.46109,0.253472
6.5277,0.256525
6.59431,0.257971
6.66092,0.261223
6.72753,0.262352
6.79414,0.261474
6.86075,0.260291
6.92735,0.258582
6.99396,0.257657
7.06057,0.25442
7.12718,0.252434
7.19379,0.25174
7.2604,0.251074
7.32701,0.251826
7.39362,0.253507
7.46023,0.255447
7.52684,0.256642
7.59345,0.258394
7.66006,0.26167
7.72666,0.264891
7.79327,0.266224
7.85988,0.269092
7.92649,0.269457
7.9931,0.268132
8.05971,0.268563
8.12632,0.268767
8.19293,0.268826
8.25954,0.269833
8.32615,0.270072
8.39276,0.269903
8.45937,0.271302
8.52598,0.274132
8.59258,0.276111
8.65919,0.278995
8.7258,0.284877
8.79241,0.286213
8.85902,0.289419
8.92563,0.290806
8.99224,0.292123
9.05885,0.294098
9.12546,0.296617
9.19207,0.297695
9.25868,0.298824
9.32529,0.300136
9.39189,0.300971
9.4585,0.299462
9.52511,0.299231
9.59172,0.298134
9.65833,0.29545
9.72494,0.294791
9.79155,0.294917
9.85816,0.293185
9.92477,0.292507
9.99138,0.291574
10.058,0.290751
10.1246,0.289732
10.1912,0.290132
10.2578,0.289281
10.3244,0.288255
10.391,0.286997
10.4576,0.285488
10.5243,0.28365
10.5909,0.282706
10.6575,0.281232
10.7241,0.281146
10.7907,0.280429
10.8573,0.278975
10.9239,0.277545
10.9905,0.277071
11.0571,0.276714
11.1237,0.276683
11.1903,0.277271
11.257,0.276585
11.3236,0.275378
11.3902,0.275515
11.4568,0.274284
11.5234,0.273301
11.59,0.272948
11.6566,0.27343
11.7232,0.272764
11.7898,0.272356
11.8564,0.271483
11.923,0.271153
11.9897,0.27113
12.0563,0.271067
12.1229,0.269942
12.1895,0.269864
12.2561,0.269139
12.3227,0.26805
12.3893,0.267928
12.4559,0.266804
12.5225,0.265926
12.5891,0.26631
12.6557,0.266153
12.7224,0.265828
12.789,0.265444
12.8556,0.264401
12.9222,0.264041
12.9888,0.262129
13.0554,0.261886
13.122,0.261889
13.1886,0.26178
13.2552,0.26147
13.3218,0.261654
13.3884,0.261278
13.4551,0.261215
13.5217,0.260906
13.5883,0.261102
13.6549,0.261521
13.7215,0.260972
13.7881,0.260537
13.8547,0.260048
13.9213,0.260306
13.9879,0.26031
14.0545,0.260667
14.1211,0.260961
14.1878,0.260624
14.2544,0.26002
14.321,0.259946
14.3876,0.259679
14.4542,0.259432
14.5208,0.259401
14.5874,0.259523
14.654,0.260118
14.7206,0.260181
14.7872,0.260008
14.8538,0.260032
14.9205,0.259875
14.9871,0.259515
15.0537,0.25944
15.1203,0.25944
15.1869,0.259691
15.2535,0.259397
15.3201,0.258958
15.3867,0.259107
15.4533,0.259205
15.5199,0.259632
15.5865,0.259248
15.6532,0.259428
15.7198,0.259781
15.7864,0.259523
15.853,0.259472
15.9196,0.258151
15.9862,0.257285
16.0528,0.258272
16.1194,0.260447
16.186,0.260396
16.2526,0.261051
16.3192,0.260365
16.3859,0.260518
16.4525,0.260686
16.5191,0.260224
16.5857,0.259954
16.6523,0.260126
16.7189,0.259914
16.7855,0.259754
16.8521,0.259127
16.9187,0.259107
16.9853,0.258805
17.052,0.258727
17.1186,0.259041
17.1852,0.258962
17.2518,0.259675
17.3184,0.259683
17.385,0.259432
17.4516,0.258896
17.5182,0.259515
17.5848,0.259758
17.6514,0.25973
